GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.logic,LogicRotation,0,369,4,40,0,75,4,31,0,13
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.logic,Geometry,0,240,0,6,0,26,0,11,0,8
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.logic,LogicDistance,0,45,0,0,0,13,0,7,0,7
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.logic,OarConfig,0,62,2,2,0,20,2,8,0,8
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.logic,LogicSail,0,41,0,4,0,10,0,5,0,3
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.checkpoint,RegattaGoal,98,95,11,3,16,22,12,6,6,5
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.checkpoint,Checkpoint,6,28,0,0,1,8,2,5,2,5
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.map,BoxStream,0,18,0,0,0,6,0,3,0,3
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.map,InitMap,0,173,0,10,0,28,0,12,0,7
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.map,MapGrid,0,465,2,58,0,69,2,40,0,12
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.map,BoxMap,0,93,0,2,0,22,0,13,0,12
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.deserializer,EntityDeserializer,21,98,3,6,2,19,3,6,0,3
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.deserializer,JsonRW,0,43,0,0,0,10,0,5,0,5
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.deserializer,VisibleEntityDeserializer,9,128,1,5,1,18,1,8,0,5
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.deserializer,ShapeDeserializer,77,53,4,2,17,7,4,4,1,3
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.shapes,Rectangle,10,72,0,2,5,25,1,10,1,9
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.shapes,Shape,0,64,3,5,0,11,3,10,0,9
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.shapes,Circle,157,47,2,2,8,13,2,6,1,5
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.shapes,Point,12,15,0,0,3,3,3,3,3,3
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.shapes,Polygone,14,43,0,2,3,13,1,6,1,5
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.ship,Deck,12,15,0,0,3,3,3,3,3,3
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.ship,Ship,41,77,4,0,6,29,3,16,1,16
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.ship,SideOfBoat,0,15,0,0,0,2,0,1,0,1
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.actions,ActLiftSail,0,30,0,0,0,10,0,3,0,3
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.actions,ActOar,0,10,0,0,0,4,0,1,0,1
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.actions,ActRudder,0,34,0,0,0,11,0,4,0,4
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.actions,ActLowerSail,0,30,0,0,0,10,0,3,0,3
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.actions,ActWatch,0,10,0,0,0,4,0,1,0,1
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.actions,ActMove,0,26,0,0,0,7,0,2,0,2
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.actions,Action,0,19,0,0,0,6,0,3,0,3
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.orders,OrderWatch,23,0,6,0,5,0,4,0,1,0
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.orders,Order,0,61,1,7,0,18,1,9,0,6
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.orders,OrderSail,0,93,2,20,0,15,2,12,0,3
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.orders,OrderOar,10,161,10,20,3,29,10,8,0,3
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.orders,OrderRudder,0,24,2,4,0,6,2,2,0,1
les_genies,fr.unice.polytech.si3.qgl.les_genies,Cockpit,37,44,0,0,13,15,2,6,2,6
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.entities,Watch,0,16,0,0,0,7,0,2,0,2
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.entities,Canon,0,32,0,0,0,13,0,4,0,4
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.entities,Entity,0,119,0,8,0,42,0,23,0,19
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.entities,Rudder,0,16,0,0,0,7,0,2,0,2
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.entities,Oar,0,31,0,2,0,11,0,5,0,4
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.entities,Sail,0,28,0,0,0,12,0,4,0,4
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.visible_entities,Reef,0,14,0,0,0,4,0,2,0,2
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.visible_entities,Wind,0,28,0,0,0,10,0,6,0,6
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.visible_entities,Stream,0,24,0,0,0,10,0,3,0,3
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.visible_entities,VisibleEntities,0,22,0,0,0,9,0,5,0,5
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.visible_entities,OtherShip,0,26,0,0,0,8,0,4,0,4
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.crew,Captain,232,187,26,17,36,44,22,19,7,11
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.crew,Shifting,7,130,2,18,1,25,2,11,0,3
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.crew,Sailor,15,216,3,23,1,43,4,24,1,14
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.tools,Coordinates,6,63,0,0,1,15,1,8,1,8
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.tools,Tool,6,400,3,11,2,56,3,19,0,15
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.tools,Position,0,53,0,0,0,23,0,9,0,9
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.tools,Vector,0,42,0,0,0,8,0,5,0,5
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.pathfinding,Size,0,15,0,0,0,6,0,3,0,3
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.pathfinding,NodeA,0,45,0,0,0,18,0,10,0,10
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.pathfinding,InitPathA,0,184,0,8,0,32,0,13,0,9
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.pathfinding,ProcessBox,0,13,0,0,0,6,0,3,0,3
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.pathfinding,PathA,2,369,4,42,2,61,4,26,0,7
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.pathfinding,CalculPathfinding,0,145,0,24,0,18,0,15,0,3
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.game_element,InitGame,11,15,0,0,2,5,1,5,1,5
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.game_element,NextRound,15,20,0,0,5,7,2,6,2,6
les_genies,fr.unice.polytech.si3.qgl.les_genies.game.game_element,Game,79,247,8,16,21,46,16,19,10,13
